"Year","Ceremony","Category","Nominee","Film","Winner"
"2019","Critics Choice","Best Score","Robbie Robertson","The Irishman","Nominee"
"2019","Critics Choice","Best Song","Glasgow (No Place Like Home) (TIE) - Written byMary Steenburgen; Performed byJessie Buckley","Wild Rose","Yes"
"2019","Critics Choice","Best Song","(Im Gonna) Love Me Again (TIE) - Written byElton John&Bernie Taupin; Performed byTaron Egerton& John","Rocketman","Yes"
"2019","Critics Choice","Best Song","Im Standing With You - Written byDiane Warren; Performed byChrissy Metz","Breakthrough","Nominee"
"2019","Critics Choice","Best Song","Into the Unknown - Written byKristen Anderson-Lopez&Robert Lopez; Performed byIdina Menzel","Frozen 2","Nominee"
"2019","Critics Choice","Best Song","Speechless - Written byAlan Menken&Pasek & Paul; Performed byNaomi Scott","Aladdin","Nominee"
"2019","Critics Choice","Best Song","Spirit - Written byBeyoncé,Ilya&Labrinth; Performed by Beyoncé","The Lion King","Nominee"
"2019","Critics Choice","Best Song","Stand Up - Written byCynthia Erivo& Joshuah Brian Campbell; Performed by Erivo","Harriet","Nominee"
"2019","Golden Globes","Best Original Score","Hildur Guðnadóttir","Joker","Yes"
"2019","Golden Globes","Best Original Song","(Im Gonna) Love Me Again - Elton John,Taron Egerton&Bernie Taupin","Rocketman","Yes"
"2019","Golden Globes","Best Original Song","Beautiful Ghosts - Taylor SwiftandAndrew Lloyd Webber","Cats","Nominee"
"2019","Golden Globes","Best Original Song","Into the Unknown - Kristen Anderson-Lopez&Robert Lopez","Frozen 2","Nominee"
"2019","Golden Globes","Best Original Song","Stand Up - Cynthia Erivoand Joshuah Brian Campbell","Harriet","Nominee"
"2019","Golden Globes","Best Original Song","Spirit - Beyoncé,Ilya Salmanzadeh&Timothy McKenzie","The Lion King","Nominee"
"2019","Oscars","Best Original Score","Hildur Guðnadóttir","Joker","Yes"
"2019","Oscars","Best Original Score","Alexandre Desplat","Little Women","Nominee"
"2019","Oscars","Best Original Score","Randy Newman","Marriage Story","Nominee"
"2019","Oscars","Best Original Song","(Im Gonna) Love Me Again - Elton John(music);Bernie Taupin(lyrics)","Rocketman","Yes"
"2019","Oscars","Best Original Song","Im Standing with You - Diane Warren(music & lyrics)","Breakthrough","Nominee"
"2019","Oscars","Best Original Song","Into the Unknown - Kristen Anderson-Lopez&Robert Lopez(music & lyrics)","Frozen 2","Nominee"
